iter	Passed	Remaining
0	145	145081
1	146	73332
2	149	49576
3	151	37702
4	154	30683
5	157	26017
6	157	22367
7	158	19627
8	159	17609
9	161	15984
10	161	14560
11	162	13377
12	162	12375
13	163	11548
14	165	10847
15	166	10213
16	167	9686
17	169	9251
18	171	8847
19	172	8468
20	173	8108
21	175	7780
22	176	7496
23	177	7213
24	177	6936
25	178	6687
26	179	6465
27	180	6269
28	182	6108
29	184	5956
30	185	5801
31	186	5650
32	188	5513
33	189	5382
34	190	5255
35	191	5141
36	193	5028
37	194	4930
38	195	4828
39	197	4731
40	198	4637
41	199	4549
42	200	4461
43	201	4379
44	202	4294
45	203	4212
46	203	4134
47	204	4062
48	205	3991
49	206	3919
50	206	3849
51	207	3782
52	207	3715
53	208	3652
54	209	3593
55	210	3541
56	210	3490
57	211	3434
58	212	3381
59	212	3329
60	213	3279
61	213	3230
62	214	3183
63	214	3137
64	215	3093
65	215	3050
66	216	3009
67	216	2968
68	217	2929
69	217	2891
70	218	2854
71	218	2821
72	219	2787
73	220	2755
74	220	2724
75	221	2693
76	222	2663
77	222	2635
78	223	2607
79	224	2578
80	224	2551
81	225	2525
82	225	2496
83	226	2470
84	227	2444
85	227	2418
86	228	2393
87	228	2369
88	229	2345
89	229	2322
90	230	2298
91	230	2276
92	231	2254
93	231	2231
94	232	2210
95	232	2190
96	233	2170
97	233	2150
98	234	2130
99	234	2111
100	235	2092
101	235	2074
102	236	2056
103	236	2038
104	237	2021
105	237	2004
106	238	1987
107	238	1971
108	239	1955
109	239	1940
110	240	1926
111	241	1912
112	241	1898
113	242	1884
114	243	1871
115	243	1858
116	244	1843
117	244	1829
118	245	1815
119	245	1802
120	246	1789
121	246	1777
122	247	1765
123	248	1752
124	248	1739
125	249	1727
126	249	1714
127	249	1702
128	250	1691
129	250	1679
130	251	1667
131	251	1656
132	252	1645
133	252	1634
134	253	1623
135	253	1613
136	254	1602
137	254	1592
138	255	1584
139	256	1576
140	257	1566
141	257	1555
142	257	1545
143	258	1536
144	258	1526
145	259	1517
146	259	1508
147	260	1499
148	261	1491
149	261	1482
150	262	1474
151	262	1465
152	263	1457
153	263	1449
154	264	1440
155	264	1432
156	265	1424
157	265	1416
158	266	1408
159	266	1400
160	267	1391
161	267	1383
162	268	1376
163	268	1368
164	269	1361
165	269	1354
166	270	1346
167	270	1339
168	271	1334
169	271	1327
170	272	1320
171	272	1313
172	273	1307
173	273	1300
174	274	1294
175	275	1287
176	275	1281
177	276	1274
178	276	1268
179	277	1262
180	277	1256
181	278	1249
182	278	1243
183	279	1237
184	279	1231
185	280	1225
186	280	1220
187	281	1214
188	281	1208
189	282	1203
190	282	1197
191	283	1192
192	284	1188
193	284	1183
194	285	1178
195	286	1174
196	286	1169
197	287	1164
198	287	1159
199	288	1153
200	288	1148
201	289	1143
202	289	1138
203	290	1133
204	291	1128
205	291	1124
206	292	1119
207	292	1115
208	293	1110
209	293	1105
210	294	1100
211	294	1096
212	295	1091
213	295	1086
214	296	1082
215	296	1077
216	297	1073
217	298	1070
218	298	1065
219	299	1061
220	299	1057
221	300	1053
222	301	1050
223	302	1047
224	302	1042
225	303	1038
226	303	1034
227	304	1030
228	304	1026
229	305	1022
230	305	1018
231	306	1014
232	307	1010
233	307	1006
234	307	1002
235	308	998
236	308	994
237	309	990
238	309	986
239	310	982
240	310	978
241	311	975
242	311	971
243	313	970
244	313	966
245	314	963
246	314	959
247	315	955
248	315	951
249	316	949
250	317	946
251	317	943
252	318	939
253	318	936
254	319	932
255	320	930
256	320	927
257	321	924
258	321	920
259	322	917
260	322	913
261	323	910
262	323	907
263	324	904
264	324	900
265	325	897
266	325	894
267	326	891
268	326	888
269	327	884
270	327	881
271	328	879
272	329	876
273	329	873
274	330	870
275	330	867
276	331	865
277	332	863
278	332	860
279	333	857
280	334	855
281	334	852
282	335	849
283	336	847
284	336	844
285	337	841
286	337	838
287	338	836
288	338	833
289	339	830
290	339	827
291	340	824
292	340	822
293	341	819
294	341	816
295	342	813
296	342	811
297	343	808
298	343	805
299	344	803
300	345	801
301	345	798
302	346	796
303	347	794
304	347	792
305	348	790
306	348	787
307	349	785
308	350	782
309	350	780
310	351	778
311	351	775
312	352	773
313	352	770
314	353	768
315	353	765
316	354	763
317	354	760
318	355	758
319	356	756
320	356	754
321	357	752
322	357	749
323	358	747
324	358	745
325	359	742
326	359	740
327	360	738
328	360	735
329	361	733
330	362	731
331	363	730
332	363	728
333	364	726
334	364	723
335	365	721
336	365	719
337	366	717
338	366	714
339	367	712
340	367	710
341	368	708
342	368	706
343	369	704
344	369	702
345	370	700
346	370	698
347	371	696
348	372	694
349	372	692
350	373	690
351	373	687
352	374	686
353	375	685
354	376	683
355	376	681
356	377	679
357	378	678
358	378	676
359	379	674
360	380	672
361	380	670
362	381	668
363	381	666
364	382	665
365	383	664
366	384	662
367	385	661
368	385	659
369	386	657
370	386	655
371	387	654
372	388	652
373	388	650
374	389	648
375	389	646
376	390	644
377	390	642
378	391	640
379	391	639
380	392	637
381	393	636
382	394	634
383	394	633
384	395	631
385	396	630
386	396	628
387	397	626
388	398	625
389	398	623
390	399	622
391	400	620
392	401	619
393	401	617
394	402	616
395	402	614
396	403	612
397	403	610
398	404	608
399	404	607
400	405	605
401	405	603
402	406	601
403	407	600
404	408	599
405	408	598
406	409	597
407	410	595
408	411	593
409	411	592
410	412	591
411	414	591
412	415	590
413	415	588
414	416	586
415	416	585
416	417	583
417	417	581
418	418	580
419	418	578
420	419	577
421	420	575
422	420	574
423	421	572
424	421	570
425	422	569
426	423	568
427	424	567
428	425	565
429	426	564
430	426	563
431	427	562
432	428	561
433	429	560
434	430	558
435	431	557
436	431	556
437	432	554
438	432	553
439	433	551
440	434	550
441	434	548
442	435	547
443	436	546
444	436	544
445	437	543
446	438	542
447	439	541
448	440	540
449	440	538
450	441	537
451	442	536
452	443	535
453	444	534
454	445	533
455	446	532
456	447	531
457	447	529
458	448	528
459	448	526
460	449	525
461	450	524
462	450	522
463	451	521
464	451	519
465	452	518
466	453	517
467	454	516
468	455	515
469	455	513
470	456	512
471	456	511
472	457	509
473	458	508
474	459	507
475	459	506
476	460	505
477	461	503
478	461	502
479	462	500
480	462	499
481	463	497
482	464	497
483	465	495
484	465	494
485	466	493
486	467	492
487	467	490
488	468	489
489	469	488
490	471	488
491	472	487
492	472	486
493	473	484
494	474	483
495	474	482
496	475	480
497	475	479
498	476	478
499	476	476
500	477	475
501	477	473
502	478	472
503	478	471
504	479	469
505	479	468
506	480	466
507	480	465
508	481	464
509	481	462
510	482	461
511	483	460
512	484	459
513	484	458
514	485	457
515	486	455
516	486	454
517	487	453
518	488	452
519	488	451
520	489	449
521	489	448
522	490	447
523	491	446
524	491	445
525	492	443
526	492	442
527	493	441
528	493	439
529	494	438
530	494	437
531	495	435
532	495	434
533	496	433
534	496	431
535	497	430
536	498	429
537	498	428
538	499	427
539	500	426
540	501	425
541	501	423
542	502	422
543	503	421
544	503	420
545	504	419
546	505	418
547	505	417
548	506	416
549	506	414
550	507	413
551	507	412
552	508	411
553	508	409
554	509	408
555	510	407
556	510	406
557	511	404
558	511	403
559	512	402
560	512	401
561	513	400
562	514	399
563	515	398
564	515	397
565	516	396
566	517	395
567	518	394
568	518	392
569	519	391
570	520	391
571	521	389
572	521	388
573	522	387
574	522	386
575	523	385
576	523	383
577	523	382
578	524	381
579	524	380
580	525	378
581	525	377
582	526	376
583	526	375
584	527	374
585	528	373
586	528	372
587	529	371
588	530	370
589	531	369
590	531	368
591	532	366
592	533	365
593	534	365
594	534	364
595	535	363
596	536	362
597	536	360
598	537	359
599	538	358
600	538	357
601	539	356
602	539	355
603	539	354
604	540	352
605	540	351
606	541	350
607	541	349
608	542	348
609	543	347
610	543	346
611	544	345
612	545	344
613	546	343
614	546	342
615	547	341
616	548	340
617	548	339
618	549	338
619	550	337
620	550	336
621	551	335
622	551	333
623	552	332
624	552	331
625	553	330
626	553	329
627	554	328
628	554	327
629	555	326
630	555	325
631	556	324
632	556	322
633	557	321
634	558	320
635	558	319
636	559	319
637	560	318
638	561	317
639	561	316
640	562	315
641	563	314
642	564	313
643	564	312
644	565	311
645	566	310
646	566	309
647	567	308
648	567	307
649	568	306
650	568	305
651	569	303
652	569	302
653	570	301
654	570	300
655	571	299
656	571	298
657	572	297
658	572	296
659	573	295
660	574	294
661	574	293
662	575	292
663	576	291
664	577	290
665	577	289
666	578	288
667	579	288
668	580	287
669	581	286
670	581	285
671	582	284
672	582	283
673	583	282
674	583	281
675	584	280
676	584	279
677	585	278
678	585	276
679	586	275
680	586	274
681	587	273
682	587	272
683	588	271
684	589	270
685	589	270
686	590	269
687	591	268
688	591	267
689	592	266
690	593	265
691	593	264
692	594	263
693	595	262
694	595	261
695	596	260
696	596	259
697	597	258
698	597	257
699	598	256
700	598	255
701	599	254
702	599	253
703	600	252
704	600	251
705	601	250
706	602	249
707	602	248
708	603	247
709	603	246
710	604	245
711	605	244
712	606	243
713	606	243
714	607	242
715	607	241
716	608	240
717	609	239
718	610	238
719	610	237
720	611	236
721	611	235
722	612	234
723	612	233
724	613	232
725	613	231
726	614	230
727	614	229
728	615	228
729	615	227
730	616	226
731	616	225
732	617	224
733	617	223
734	618	222
735	618	221
736	619	221
737	620	220
738	621	219
739	621	218
740	622	217
741	623	216
742	623	215
743	624	214
744	625	214
745	625	213
746	626	212
747	626	211
748	627	210
749	628	209
750	628	208
751	629	207
752	629	206
753	630	205
754	630	204
755	631	203
756	632	202
757	632	201
758	633	201
759	633	200
760	634	199
761	635	198
762	636	197
763	637	196
764	638	196
765	638	195
766	639	194
767	640	193
768	640	192
769	641	191
770	642	190
771	643	189
772	644	189
773	645	188
774	646	187
775	646	186
776	647	185
777	648	184
778	649	184
779	650	183
780	650	182
781	651	181
782	652	180
783	652	179
784	653	178
785	654	178
786	654	177
787	655	176
788	655	175
789	656	174
790	657	173
791	657	172
792	658	171
793	659	171
794	660	170
795	661	169
796	662	168
797	663	167
798	664	167
799	665	166
800	666	165
801	667	164
802	668	164
803	669	163
804	670	162
805	670	161
806	671	160
807	672	159
808	673	158
809	674	158
810	675	157
811	675	156
812	676	155
813	677	154
814	678	153
815	679	153
816	680	152
817	680	151
818	681	150
819	682	149
820	683	149
821	684	148
822	685	147
823	686	146
824	687	145
825	688	144
826	688	144
827	689	143
828	689	142
829	690	141
830	691	140
831	692	139
832	692	138
833	693	138
834	694	137
835	695	136
836	696	135
837	697	134
838	697	133
839	698	133
840	700	132
841	701	131
842	702	130
843	702	129
844	703	129
845	703	128
846	704	127
847	704	126
848	705	125
849	706	124
850	706	123
851	707	122
852	707	121
853	709	121
854	709	120
855	710	119
856	711	118
857	712	117
858	713	117
859	713	116
860	714	115
861	715	114
862	716	113
863	717	112
864	717	112
865	718	111
866	719	110
867	719	109
868	720	108
869	721	107
870	721	106
871	722	106
872	722	105
873	723	104
874	724	103
875	724	102
876	725	101
877	726	100
878	726	100
879	727	99
880	728	98
881	728	97
882	729	96
883	730	95
884	730	94
885	731	94
886	731	93
887	731	92
888	732	91
889	732	90
890	733	89
891	734	88
892	734	88
893	735	87
894	735	86
895	736	85
896	736	84
897	737	83
898	737	82
899	738	82
900	739	81
901	739	80
902	740	79
903	741	78
904	741	77
905	742	77
906	742	76
907	743	75
908	744	74
909	745	73
910	745	72
911	746	72
912	746	71
913	747	70
914	747	69
915	748	68
916	749	67
917	749	66
918	750	66
919	750	65
920	751	64
921	751	63
922	752	62
923	752	61
924	753	61
925	754	60
926	755	59
927	755	58
928	756	57
929	757	56
930	757	56
931	758	55
932	759	54
933	760	53
934	760	52
935	761	52
936	761	51
937	762	50
938	762	49
939	763	48
940	764	47
941	764	47
942	765	46
943	765	45
944	765	44
945	766	43
946	766	42
947	767	42
948	768	41
949	768	40
950	769	39
951	770	38
952	771	38
953	771	37
954	772	36
955	773	35
956	774	34
957	774	33
958	775	33
959	775	32
960	776	31
961	776	30
962	777	29
963	777	29
964	778	28
965	778	27
966	779	26
967	779	25
968	780	24
969	780	24
970	781	23
971	782	22
972	782	21
973	783	20
974	783	20
975	784	19
976	785	18
977	785	17
978	786	16
979	787	16
980	788	15
981	788	14
982	789	13
983	790	12
984	790	12
985	791	11
986	791	10
987	792	9
988	792	8
989	793	8
990	793	7
991	794	6
992	794	5
993	795	4
994	795	3
995	796	3
996	796	2
997	797	1
998	797	0
999	798	0
